track_uri,track_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
spotify:track:21Bmw8xCfykDBHo2UdjISp,100it Racks (feat. Drake & 2 Chainz),253556,0.821,0.598,10,-9.722,0.12,0.208,0.0616,0.089,0.37,136.999,Future
spotify:track:04T3yZYt92tBvgqxTdeJxd,I'm Goin In,223701,0.662,0.763,1,-8.455,0.377,0.0389,0.0,0.103,0.566,170.031,Drake
spotify:track:0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),206627,0.444,0.627,7,-8.744,0.252,0.123,0.0,0.0795,0.359,98.21,Drake
spotify:track:4Kz4RdRCceaA9VgTqBhBfa,The Motto,181573,0.766,0.442,1,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8,Drake
spotify:track:1EoHEkVcysf4WVDx6r9WzQ,Over,233560,0.325,0.848,7,-5.611,0.279,0.0109,0.0,0.124,0.433,100.093,Drake
spotify:track:0WtVtCK5SEFvyyA5V8D9CI,No Frauds,272453,0.865,0.553,1,-7.012,0.276,0.0788,3.17e-06,0.514,0.443,139.023,Nicki Minaj
spotify:track:4OURH8h9ylAU1aD4eSspiI,No Complaints,261733,0.911,0.51,2,-10.786,0.185,0.0836,0.0658,0.0797,0.191,123.961,Metro Boomin
spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),181263,0.922,0.581,10,-7.495,0.27,0.00104,5.86e-05,0.105,0.595,140.022,BlocBoy JB
spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,Used to This (feat. Drake),180520,0.618,0.727,3,-7.224,0.208,0.0312,0.0,0.196,0.401,164.992,Future
spotify:track:6c2Wepr15iM8q7L05P8Fgh,Right Above It,271947,0.345,0.841,3,-4.348,0.367,0.0435,0.0,0.578,0.461,72.351,Lil Wayne
spotify:track:5nN8BwAQDJDguq7Dpd3JQQ,Where Ya At (feat. Drake),208027,0.813,0.453,1,-6.941,0.338,0.0933,0.0,0.14,0.191,161.997,Future
spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,Nice For What,210926,0.567,0.913,8,-6.471,0.0736,0.0934,0.000124,0.114,0.792,93.35,Drake
spotify:track:7yfg0Eer6UZZt5tZ1XdsWz,Make Me Proud,219893,0.684,0.486,1,-10.155,0.132,0.00268,0.000148,0.157,0.355,131.913,Drake
spotify:track:1D9XLqQp2YYiOxrr5KLb8K,Under Ground Kings,212613,0.487,0.712,8,-7.323,0.27,5.2e-05,0.0,0.198,0.397,156.209,Drake
spotify:track:0IekdWvcDKkcnUyJt0NWga,I'm On One,296147,0.519,0.802,11,-3.449,0.296,0.0606,0.0,0.606,0.414,150.013,DJ Khaled
spotify:track:5oVlbbiKGdGeZkWCFy0mqk,No New Friends - SFTB Remix,308333,0.699,0.673,2,-6.337,0.158,0.00595,0.0,0.459,0.231,124.978,DJ Khaled
spotify:track:55YHftnlehUQQJoTSLKCxj,Up All Night,234333,0.606,0.809,7,-4.667,0.279,0.00778,1.59e-05,0.336,0.272,156.337,Drake
spotify:track:1H6FVVPoDB5R9SOkPLW2zz,Truffle Butter,219227,0.896,0.674,10,-6.89,0.0499,0.0644,1.83e-05,0.12,0.516,105.096,Nicki Minaj
spotify:track:6wf85LERx5my0RsMh6tSkT,Back To Back,170638,0.896,0.446,1,-3.876,0.356,0.00994,0.0,0.115,0.35,86.989,Drake
spotify:track:4n7CwZ6jBTP4gFj4WlJxxW,9AM in Dallas - Edited Version,219440,0.506,0.837,5,-5.692,0.3,0.336,0.0,0.281,0.408,117.68,Drake
spotify:track:1wsf1YFQSYND45y0GzJmf7,Yes Indeed,142273,0.964,0.346,5,-9.309,0.53,0.035,0.0,0.108,0.562,119.958,Lil Baby
spotify:track:7txPE73wHbuXYkM1h8zNrG,Mob Ties,205147,0.755,0.575,4,-8.392,0.0673,0.0443,0.00127,0.276,0.493,85.994,Drake
spotify:track:2Vx8E3K5icPZR7OCklWBXX,Nonstop,238613,0.909,0.405,6,-8.133,0.14,0.0306,0.00698,0.105,0.455,154.984,Drake
spotify:track:7cfvP13Bqb1EyCZQiYsLum,Can’t Take A Joke,163973,0.878,0.432,10,-9.852,0.143,0.041,0.0,0.0571,0.441,86.956,Drake
spotify:track:1Jrj3k5L36dPkU6KAclU7g,Blue Tint,162800,0.888,0.377,7,-10.142,0.339,0.0126,0.0,0.19,0.126,133.996,Drake
spotify:track:0bAkKNCQfWkexHFn7fIKns,In My Feelings,217933,0.735,0.482,8,-9.445,0.139,0.00623,0.0144,0.448,0.315,181.995,Drake
spotify:track:1uDjaezEbalGyGnuH80zDK,Who Do You Love?,233507,0.676,0.415,9,-9.752,0.508,0.0281,0.0,0.0915,0.146,193.206,YG
spotify:track:5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),225893,0.888,0.515,1,-6.246,0.271,0.247,0.0,0.446,0.264,141.009,2 Chainz
spotify:track:04MLEeAMuV9IlHEsD8vF6A,No Stylist (feat. Drake),192172,0.765,0.704,5,-4.589,0.127,0.0215,0.0,0.227,0.498,147.055,French Montana
spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,"Never Recover (Lil Baby & Gunna, Drake)",194732,0.753,0.686,1,-5.415,0.284,0.0677,0.0,0.193,0.886,132.055,Lil Baby
spotify:track:1rlIrbWboTRGeKfHhgbJRZ,FLIP THE SWITCH (feat. Drake),156195,0.853,0.637,3,-5.924,0.331,0.129,0.0,0.267,0.496,86.048,Quavo
spotify:track:0V4l4GQhgnWQGtCWpvA7va,Crew Love,208813,0.418,0.546,0,-9.057,0.238,0.227,0.0,0.229,0.294,160.152,Drake
spotify:track:7udsBKuqnJ5csWTAkR0vEI,We'll Be Fine,247947,0.386,0.488,1,-7.303,0.422,0.00171,0.0,0.64,0.217,193.397,Drake
spotify:track:4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,275227,0.559,0.716,11,-3.964,0.39,0.737,0.0,0.252,0.504,176.618,Drake
spotify:track:5JvcHr1w3lwG09rsaqHECe,No Lie,237800,0.634,0.665,6,-5.984,0.176,0.0172,0.0,0.365,0.611,131.108,2 Chainz
spotify:track:6tcUiiaNZJWAPjnVWqmrL8,Big Amount,188069,0.574,0.822,3,-4.226,0.271,0.0129,0.0,0.106,0.17,133.736,2 Chainz
spotify:track:3kCwyvhvVTyehIzYN2I0nF,Omertà,219507,0.646,0.899,6,-2.232,0.298,0.0337,0.0,0.232,0.685,164.119,Drake
spotify:track:3X37NtwadSS0RM20dh2IgP,Worst Behavior,270200,0.777,0.778,9,-6.349,0.136,0.156,1.08e-06,0.196,0.437,109.925,Drake
spotify:track:3W3FVHEDetkiRkkGKDmdir,Draft Day,266325,0.673,0.81,8,-3.793,0.36,0.0322,0.0,0.133,0.564,166.084,Drake
spotify:track:5lFDtgWsjRJu8fPOAyJIAK,Back To Back,170638,0.893,0.48,1,-3.728,0.356,0.00855,0.0,0.116,0.382,86.976,Drake
spotify:track:6C9SwoZ5OrxcvkntgA5t8s,4pm in Calabasas,240218,0.743,0.66,4,-4.802,0.418,0.115,0.0,0.101,0.549,192.031,Drake
spotify:track:0FnxK9FEAQyPJ284QcieNb,5 Am in Toronto,205264,0.555,0.88,11,-4.325,0.265,0.0678,0.0,0.0723,0.391,87.195,Drake
spotify:track:2xUHiyGeGrWmmfv7NbDTWC,Jodeci Freestyle (feat. J. Cole),254022,0.498,0.844,2,-2.834,0.268,0.0111,0.0,0.102,0.282,88.435,Drake
spotify:track:18t8ypY0HYaQuGBxg2KdT2,Free Spirit (feat. Rick Ross),252884,0.508,0.748,1,-4.997,0.33,0.281,0.0,0.168,0.225,100.414,Drake
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),237735,0.676,0.609,2,-5.831,0.481,0.0706,0.0,0.152,0.508,142.037,Future
spotify:track:466cKvZn1j45IpxDdYZqdA,Toosie Slide,247059,0.83,0.49,1,-8.82,0.209,0.289,3.04e-06,0.113,0.845,81.604,Drake
spotify:track:4OENnoidV0h8gJV6bhrw7r,Only You Freestyle,248937,0.68,0.826,5,-2.561,0.27,0.562,0.0,0.254,0.804,146.95,Headie One
spotify:track:6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),200221,0.8,0.56,5,-4.818,0.261,0.057,0.0,0.134,0.45,163.071,DJ Khaled
spotify:track:35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),218902,0.695,0.343,5,-10.798,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,DJ Khaled
spotify:track:2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),261493,0.761,0.518,0,-8.871,0.134,0.244,3.47e-05,0.107,0.522,133.976,Drake
spotify:track:5e574bhjycX1eH2l4Auage,Grammys,220427,0.676,0.432,1,-9.51,0.502,0.00163,3.84e-06,0.0799,0.12,145.869,Drake
spotify:track:7gNB9Xa5NBY2Y8tFmpOlwk,Seeing Green (with Drake & Lil Wayne),339506,0.465,0.859,5,-2.893,0.225,0.0762,5.18e-06,0.377,0.208,72.193,Nicki Minaj
spotify:track:6rTInqW3YECMkQsBEHw4sd,Solid (feat. Drake),215693,0.887,0.485,11,-9.358,0.2,0.0392,0.0,0.141,0.328,125.987,Young Stoner Life
spotify:track:4mOkfIYbMX9PXx27hj8NTi,Betrayal (feat. Drake),152025,0.74,0.564,8,-6.71,0.0688,0.0126,0.0,0.126,0.129,158.114,Trippie Redd
spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,239360,0.561,0.52,11,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,Drake
