track_uri,track_name,album_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,type,id,uri,track_href,analysis_url,time_signature
spotify:track:13e6f8t7RKXuxZ0JdaaJRG,Jorja Interlude,More Life,107673,0.735,0.373,11,-10.478,0.104,0.762,0.00202,0.288,0.237,123.081,1,audio_features,13e6f8t7RKXuxZ0JdaaJRG,spotify:track:13e6f8t7RKXuxZ0JdaaJRG,https://api.spotify.com/v1/tracks/13e6f8t7RKXuxZ0JdaaJRG,https://api.spotify.com/v1/audio-analysis/13e6f8t7RKXuxZ0JdaaJRG,4
spotify:track:2NM0qHzx4Ohy8iXHEEgwlO,Having Our Way (feat. Drake),Culture III,278191,0.927,0.538,1,-3.917,0.116,0.0312,0.0,0.0945,0.221,125.983,1,audio_features,2NM0qHzx4Ohy8iXHEEgwlO,spotify:track:2NM0qHzx4Ohy8iXHEEgwlO,https://api.spotify.com/v1/tracks/2NM0qHzx4Ohy8iXHEEgwlO,https://api.spotify.com/v1/audio-analysis/2NM0qHzx4Ohy8iXHEEgwlO,4
spotify:track:7wsmIIm0xWmtP7TmACXkJn,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),206702,0.836,0.617,0,-4.363,0.0534,0.17,0.0,0.319,0.866,138.066,1,audio_features,7wsmIIm0xWmtP7TmACXkJn,spotify:track:7wsmIIm0xWmtP7TmACXkJn,https://api.spotify.com/v1/tracks/7wsmIIm0xWmtP7TmACXkJn,https://api.spotify.com/v1/audio-analysis/7wsmIIm0xWmtP7TmACXkJn,4
spotify:track:3RkNXZvOSMMElmmXztDc94,F*****g Fans,Certified Lover Boy,245131,0.783,0.416,4,-9.84,0.135,0.213,0.0,0.103,0.165,87.073,0,audio_features,3RkNXZvOSMMElmmXztDc94,spotify:track:3RkNXZvOSMMElmmXztDc94,https://api.spotify.com/v1/tracks/3RkNXZvOSMMElmmXztDc94,https://api.spotify.com/v1/audio-analysis/3RkNXZvOSMMElmmXztDc94,4
spotify:track:1C7KSXR2GVxknex6I4ANco,9,Views,255787,0.68,0.712,10,-7.184,0.0453,0.000803,0.000612,0.237,0.0379,100.009,1,audio_features,1C7KSXR2GVxknex6I4ANco,spotify:track:1C7KSXR2GVxknex6I4ANco,https://api.spotify.com/v1/tracks/1C7KSXR2GVxknex6I4ANco,https://api.spotify.com/v1/audio-analysis/1C7KSXR2GVxknex6I4ANco,4
spotify:track:7eYAHC0RbBF9eaqWzT34Aq,Desires (with Future),Dark Lane Demo Tapes,237946,0.812,0.506,5,-7.706,0.116,0.281,0.0,0.325,0.554,145.074,0,audio_features,7eYAHC0RbBF9eaqWzT34Aq,spotify:track:7eYAHC0RbBF9eaqWzT34Aq,https://api.spotify.com/v1/tracks/7eYAHC0RbBF9eaqWzT34Aq,https://api.spotify.com/v1/audio-analysis/7eYAHC0RbBF9eaqWzT34Aq,4
spotify:track:3a8tAZFJxlmBwOtrf5L1oC,6 God,If You're Reading This It's Too Late,180667,0.868,0.623,2,-8.595,0.101,0.0249,0.0,0.125,0.498,105.446,1,audio_features,3a8tAZFJxlmBwOtrf5L1oC,spotify:track:3a8tAZFJxlmBwOtrf5L1oC,https://api.spotify.com/v1/tracks/3a8tAZFJxlmBwOtrf5L1oC,https://api.spotify.com/v1/audio-analysis/3a8tAZFJxlmBwOtrf5L1oC,4
spotify:track:50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,213104,0.519,0.851,7,-6.001,0.29,0.118,0.0,0.178,0.711,123.823,1,audio_features,50ceCGZ3oD3U5caQV5bP6f,spotify:track:50ceCGZ3oD3U5caQV5bP6f,https://api.spotify.com/v1/tracks/50ceCGZ3oD3U5caQV5bP6f,https://api.spotify.com/v1/audio-analysis/50ceCGZ3oD3U5caQV5bP6f,5
spotify:track:0llA0pYA6GpGk7fTjew0wO,The Resistance,Thank Me Later,225360,0.547,0.741,0,-8.127,0.163,0.822,0.0,0.117,0.637,82.589,1,audio_features,0llA0pYA6GpGk7fTjew0wO,spotify:track:0llA0pYA6GpGk7fTjew0wO,https://api.spotify.com/v1/tracks/0llA0pYA6GpGk7fTjew0wO,https://api.spotify.com/v1/audio-analysis/0llA0pYA6GpGk7fTjew0wO,4
spotify:track:0nAZGkBGKQCXyaoSJfRhC1,A Keeper,"Honestly, Nevermind",173097,0.6,0.482,1,-11.596,0.0701,0.512,0.000104,0.115,0.323,121.909,1,audio_features,0nAZGkBGKQCXyaoSJfRhC1,spotify:track:0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/tracks/0nAZGkBGKQCXyaoSJfRhC1,https://api.spotify.com/v1/audio-analysis/0nAZGkBGKQCXyaoSJfRhC1,4
spotify:track:41a7dZcq30Ss5kPMayWRV0,That's How You Feel,Scorpion,157605,0.85,0.473,10,-5.747,0.209,0.117,0.0103,0.108,0.38,85.454,0,audio_features,41a7dZcq30Ss5kPMayWRV0,spotify:track:41a7dZcq30Ss5kPMayWRV0,https://api.spotify.com/v1/tracks/41a7dZcq30Ss5kPMayWRV0,https://api.spotify.com/v1/audio-analysis/41a7dZcq30Ss5kPMayWRV0,4
spotify:track:2fkeWbM6iqTw7oGHTYm2lw,4422,More Life,186293,0.609,0.229,11,-12.36,0.0333,0.558,0.0413,0.113,0.19,111.887,0,audio_features,2fkeWbM6iqTw7oGHTYm2lw,spotify:track:2fkeWbM6iqTw7oGHTYm2lw,https://api.spotify.com/v1/tracks/2fkeWbM6iqTw7oGHTYm2lw,https://api.spotify.com/v1/audio-analysis/2fkeWbM6iqTw7oGHTYm2lw,4
